Genes,pathway
eno,glycolysis II (from fructose 6-phosphate)
eno,glycolysis I (from glucose 6-phosphate)
sfcA,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
sfcA,superpathway of glyoxylate bypass and TCA
sfcA,glyoxylate cycle
sfcA,TCA cycle I (prokaryotic)
sfcA,mixed acid fermentation
sfcA,gluconeogenesis I
pgi,colanic acid building blocks biosynthesis
pgi,O-antigen building blocks biosynthesis (E. coli)
pgi,superpathway of glycolysis and the Entner-Doudoroff pathway
pgi,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
pgi,GDP-mannose biosynthesis
pgi,gluconeogenesis I
pgi,UDP-N-acetyl-D-glucosamine biosynthesis I
pgi,glycolysis I (from glucose 6-phosphate)
guaD,guanosine nucleotides degradation III
afuC,superpathway of hexitol degradation (bacteria)
afuC,superpathway of glycolysis and the Entner-Doudoroff pathway
afuC,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
afuC,gluconeogenesis I
afuC,glycolysis II (from fructose 6-phosphate)
afuC,glycolysis I (from glucose 6-phosphate)
ycjR,D-gulosides conversion to D-glucosides
glpX,superpathway of hexitol degradation (bacteria)
glpX,superpathway of glycolysis and the Entner-Doudoroff pathway
glpX,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
glpX,gluconeogenesis I
glpX,glycolysis II (from fructose 6-phosphate)
glpX,glycolysis I (from glucose 6-phosphate)
ybhA,superpathway of hexitol degradation (bacteria)
ybhA,superpathway of glycolysis and the Entner-Doudoroff pathway
ybhA,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
ybhA,gluconeogenesis I
ybhA,glycolysis II (from fructose 6-phosphate)
ybhA,glycolysis I (from glucose 6-phosphate)
pgk,superpathway of hexitol degradation (bacteria)
pgk,superpathway of glycolysis and the Entner-Doudoroff pathway
pgk,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
pgk,gluconeogenesis I
pgk,glycolysis II (from fructose 6-phosphate)
pgk,glycolysis I (from glucose 6-phosphate)
phnO,(aminomethyl)phosphonate degradation
mdh,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
mdh,superpathway of glyoxylate bypass and TCA
mdh,glyoxylate cycle
mdh,TCA cycle I (prokaryotic)
mdh,mixed acid fermentation
mdh,gluconeogenesis I
ydcW,superpathway of L-arginine and L-ornithine degradation
ydcW,superpathway of ornithine degradation
ydcW,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"
ydcW,putrescine degradation I
ydcW,L-lysine degradation I
gapA,superpathway of hexitol degradation (bacteria)
gapA,superpathway of glycolysis and the Entner-Doudoroff pathway
gapA,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
gapA,gluconeogenesis I
gapA,glycolysis II (from fructose 6-phosphate)
gapA,glycolysis I (from glucose 6-phosphate)
glnK,Nitrogen Regulation Two-Component System
glnE,Nitrogen Regulation Two-Component System
ydfG,uracil degradation III
ycdL,uracil degradation III
ycdI,uracil degradation III
ygjG,L-lysine degradation I
ygjG,superpathway of L-arginine and L-ornithine degradation
ygjG,superpathway of ornithine degradation
ygjG,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"
ygjG,putrescine degradation I
astC,L-arginine degradation II (AST pathway)
ycdM,uracil degradation III
sseA,hydrogen sulfide biosynthesis I
sseA,thiosulfate disproportionation IV (rhodanese)
glpE,thiosulfate disproportionation IV (rhodanese)
ssuD,two-component alkanesulfonate monooxygenase
cysI,superpathway of sulfate assimilation and cysteine biosynthesis
cysI,assimilatory sulfate reduction I
cysC,superpathway of sulfate assimilation and cysteine biosynthesis
cysC,assimilatory sulfate reduction I
cysC,sulfate activation for sulfonation
sufS,superpathway of L-alanine biosynthesis
sufS,superpathway of thiamine diphosphate biosynthesis I
sufS,L-alanine biosynthesis III
sufS,thiazole component of thiamne diphosphate biosynthesis
sufS,molybdenum cofactor biosynthesis
sufS,tRNA-uridine 2-thiolation and selenation (bacteria)
ssuE,two-component alkanesulfonate monooxygenase
kdsC,superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis
kdsC,superpathway of lipopolysaccharide biosynthesis
kdsC,CMP-3-deoxy-D-manno-octulosonate biosynthesis
cysJ,superpathway of sulfate assimilation and cysteine biosynthesis
cysJ,assimilatory sulfate reduction I
cysD,superpathway of sulfate assimilation and cysteine biosynthesis
cysD,assimilatory sulfate reduction I
cysD,sulfate activation for sulfonation
ynjE,molybdenum cofactor biosynthesis
cysN,superpathway of sulfate assimilation and cysteine biosynthesis
cysN,assimilatory sulfate reduction I
cysN,sulfate activation for sulfonation
cysH,superpathway of sulfate assimilation and cysteine biosynthesis
cysH,assimilatory sulfate reduction I
ppa,(aminomethyl)phosphonate degradation
phoA,adenosine nucleotides degradation II
phoA,superpathway of hexitol degradation (bacteria)
phoA,glycolysis II (from fructose 6-phosphate)
phoA,(aminomethyl)phosphonate degradation
phnM,(aminomethyl)phosphonate degradation
phnM,methylphosphonate degradation I
phnG,(aminomethyl)phosphonate degradation
phnG,methylphosphonate degradation I
phoB,"PhoRB Two-Component Signal Transduction System, phosphate-dependent"
phnN,(aminomethyl)phosphonate degradation
phnH,(aminomethyl)phosphonate degradation
phnH,methylphosphonate degradation I
phoR,"PhoRB Two-Component Signal Transduction System, phosphate-dependent"
phnP,methylphosphonate degradation I
phnP,(aminomethyl)phosphonate degradation
phnL,(aminomethyl)phosphonate degradation
phnL,methylphosphonate degradation I
phnI,(aminomethyl)phosphonate degradation
phnI,methylphosphonate degradation I
otsB,trehalose biosynthesis I
treA,trehalose degradation VI (periplasmic)
gntK,D-gluconate degradation
otsA,trehalose biosynthesis I
ugpQ,glycerol and glycerophosphodiester degradation
ugpQ,glycerophosphodiester degradation
glpK,glycerol and glycerophosphodiester degradation
glpK,glycerol degradation I
gldA,superpathway of methylglyoxal degradation
gldA,methylglyoxal degradation III
gldA,glycerol degradation V
glpQ,glycerol and glycerophosphodiester degradation
glpQ,glycerophosphodiester degradation
gpsA,superpathway of phospholipid biosynthesis I (bacteria)
gpsA,CDP-diacylglycerol biosynthesis II
gpsA,CDP-diacylglycerol biosynthesis I
yfeU,anhydromuropeptides recycling I
xdhB,guanosine nucleotides degradation III
xdhB,adenosine nucleotides degradation II
xdhC,guanosine nucleotides degradation III
xdhC,adenosine nucleotides degradation II
mpl,anhydromuropeptides recycling I
ampD,anhydromuropeptides recycling I
ydhH,anhydromuropeptides recycling I
xdhA,guanosine nucleotides degradation III
xdhA,adenosine nucleotides degradation II
nagZ,anhydromuropeptides recycling I
yrfG,guanosine nucleotides degradation III
deoB,superpathway of purine deoxyribonucleosides degradation
deoB,superpathway of pyrimidine deoxyribonucleosides degradation
deoB,2-deoxy-&alpha;-D-ribose 1-phosphate degradation
deoB,pyrimidine ribonucleosides degradation
deoB,purine ribonucleosides degradation
rihA,superpathway of pyrimidine ribonucleosides salvage
rihA,pyrimidine ribonucleosides salvage II
rihA,pyrimidine ribonucleosides salvage III
gsk,superpathway of guanine and guanosine salvage
gsk,guanine and guanosine salvage III
gsk,adenine and adenosine salvage V
nrdB,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)
ftsB,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)
nrdB,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
ftsB,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
nrdB,pyrimidine deoxyribonucleotides de novo biosynthesis I
ftsB,pyrimidine deoxyribonucleotides de novo biosynthesis I
nrdB,superpathway of adenosine nucleotides de novo biosynthesis II
ftsB,superpathway of adenosine nucleotides de novo biosynthesis II
nrdB,adenosine deoxyribonucleotides de novo biosynthesis II
ftsB,adenosine deoxyribonucleotides de novo biosynthesis II
nrdB,"superpathway of histidine, purine, and pyrimidine biosynthesis"
ftsB,"superpathway of histidine, purine, and pyrimidine biosynthesis"
nrdB,superpathway of purine nucleotides de novo biosynthesis II
ftsB,superpathway of purine nucleotides de novo biosynthesis II
nrdB,superpathway of guanosine nucleotides de novo biosynthesis II
ftsB,superpathway of guanosine nucleotides de novo biosynthesis II
nrdB,guanosine deoxyribonucleotides de novo biosynthesis II
ftsB,guanosine deoxyribonucleotides de novo biosynthesis II
nrdF,superpathway of adenosine nucleotides de novo biosynthesis II
ygaD,superpathway of adenosine nucleotides de novo biosynthesis II
nrdF,adenosine deoxyribonucleotides de novo biosynthesis II
ygaD,adenosine deoxyribonucleotides de novo biosynthesis II
nrdF,"superpathway of histidine, purine, and pyrimidine biosynthesis"
ygaD,"superpathway of histidine, purine, and pyrimidine biosynthesis"
nrdF,superpathway of purine nucleotides de novo biosynthesis II
ygaD,superpathway of purine nucleotides de novo biosynthesis II
nrdF,superpathway of guanosine nucleotides de novo biosynthesis II
ygaD,superpathway of guanosine nucleotides de novo biosynthesis II
nrdF,guanosine deoxyribonucleotides de novo biosynthesis II
ygaD,guanosine deoxyribonucleotides de novo biosynthesis II
nrdF,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)
ygaD,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)
nrdF,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
ygaD,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
nrdF,pyrimidine deoxyribonucleotides de novo biosynthesis I
ygaD,pyrimidine deoxyribonucleotides de novo biosynthesis I
udp,pyrimidine ribonucleosides degradation
udp,salvage pathways of pyrimidine ribonucleotides
tdk,salvage pathways of pyrimidine deoxyribonucleotides
manZ,superpathway of guanine and guanosine salvage
manZ,guanine and guanosine salvage
manZ,xanthine and xanthosine salvage
manZ,adenine and adenosine salvage III
add,superpathway of purine deoxyribonucleosides degradation
add,purine deoxyribonucleosides degradation I
add,adenosine nucleotides degradation II
add,adenine and adenosine salvage III
add,adenine and adenosine salvage V
add,purine ribonucleosides degradation
relA,ppGpp metabolism
ispU,superpathway of pyrimidine nucleobases salvage
uppS,superpathway of pyrimidine nucleobases salvage
ispU,pyrimidine nucleobases salvage II
uppS,pyrimidine nucleobases salvage II
ispU,superpathway of pyrimidine ribonucleosides salvage
uppS,superpathway of pyrimidine ribonucleosides salvage
ispU,salvage pathways of pyrimidine ribonucleotides
uppS,salvage pathways of pyrimidine ribonucleotides
ispU,pyrimidine nucleobases salvage I
uppS,pyrimidine nucleobases salvage I
deoC,superpathway of purine deoxyribonucleosides degradation
deoC,superpathway of pyrimidine deoxyribonucleosides degradation
deoC,2-deoxy-&alpha;-D-ribose 1-phosphate degradation
xapA,xanthine and xanthosine salvage
xapA,adenosine nucleotides degradation II
xapA,adenine and adenosine salvage III
xapA,superpathway of guanine and guanosine salvage
xapA,guanine and guanosine salvage
xapA,guanosine nucleotides degradation III
xapA,purine ribonucleosides degradation
hpt,adenine and adenosine salvage III
hpt,superpathway of guanine and guanosine salvage
hpt,guanine and guanosine salvage
rihC,superpathway of pyrimidine ribonucleosides salvage
rihC,pyrimidine ribonucleosides salvage II
rihC,adenine and adenosine salvage II
rihC,pyrimidine ribonucleosides salvage III
apt,adenine and adenosine salvage II
apt,(aminomethyl)phosphonate degradation
rihB,pyrimidine ribonucleosides salvage III
rihB,superpathway of pyrimidine ribonucleosides salvage
rihB,pyrimidine ribonucleosides salvage II
udk,superpathway of pyrimidine ribonucleosides salvage
udk,pyrimidine ribonucleosides salvage I
udk,salvage pathways of pyrimidine ribonucleotides
dut,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)
dut,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
dut,pyrimidine deoxyribonucleotides de novo biosynthesis I
dut,pyrimidine deoxyribonucleotides dephosphorylation
dut,pyrimidine deoxyribonucleotides de novo biosynthesis II
aroK,chorismate biosynthesis from 3-dehydroquinate
apaH,ppGpp metabolism
fbp,gluconeogenesis I
fbp,glycolysis I (from glucose 6-phosphate)
fbp,glycolysis II (from fructose 6-phosphate)
flgA,flagellar assembly
flgB,flagellar assembly
flgC,flagellar assembly
flgD,flagellar assembly
flgE,flagellar assembly
flgF,flagellar assembly
flgG,flagellar assembly
flgH,flagellar assembly
flgI,flagellar assembly
flgK,flagellar assembly
flgL,flagellar assembly
flgM,flagellar assembly
flgN,flagellar assembly
flhB,flagellar assembly
flhC,flagellar assembly
flhD,flagellar assembly
fliC,flagellar assembly
fliD,flagellar assembly
fliE,flagellar assembly
fliF,flagellar assembly
fliG,flagellar assembly
fliH,flagellar assembly
fliI,flagellar assembly
fliJ,flagellar assembly
fliK,flagellar assembly
fliM,flagellar assembly
fliN,flagellar assembly
fliO,flagellar assembly
fliP,flagellar assembly
fliQ,flagellar assembly
fliR,flagellar assembly
fliS,flagellar assembly
fliT,flagellar assembly
gnd,pentose phosphate pathway (oxidative branch) I
gpmM,gluconeogenesis I
gpmM,glycolysis I (from glucose 6-phosphate)
gpmM,glycolysis II (from fructose 6-phosphate)
gpt,guanine and guanosine salvage
gpt,guanine and guanosine salvage III
gpt,xanthine and xanthosine salvage
icd,TCA cycle I (prokaryotic)
icd,mixed acid fermentation
pheA,L-tyrosine biosynthesis I
pheA,L-phenylalanine biosynthesis I
ppnP,guanine and guanosine salvage I
ppnP,guanosine nucleotides degradation III
ppnP,salvage pathways of pyrimidine deoxyribonucleotides
ppnP,pyrimidine deoxyribonucleosides degradation
ppnP,pyrimidine ribonucleosides degradation
ppnP,salvage pathways of pyrimidine ribonucleotides
ppnP,xanthine and xanthosine salvage
ppnP,adenosine nucleotides degradation II
ppnP,adenine and adenosine salvage III
ppnP,adenine and adenosine salvage V
ppnP,purine ribonucleosides degradation
pyrL,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
pyrL,"superpathway of histidine, purine, and pyrimidine biosynthesis"
pyrL,superpathway of pyrimidine ribonucleotides de novo biosynthesis
pyrL,UMP biosynthesis I
trpE,L-glutamine degradation I
trpE,L-glutamine biosynthesis I
trpE,ammonia assimilation cycle III
trpE,L-tryptophan biosynthesis
upp,salvage pathways of pyrimidine ribonucleotides
upp,pyrimidine nucleobases salvage I
